,City,Borough,Neighborhood,Latitude,Longitude
0,Tallinna linn,Kesklinna linnaosa,Raua,59.4364562,24.768514
1,Tallinna linn,Pirita linnaosa,Iru,59.4616235,24.9044609
2,Tallinna linn,Lasnamäe linnaosa,Seli,59.4442151,24.893329
3,Tallinna linn,Lasnamäe linnaosa,Sõjamäe,59.4245821,24.8434934
4,Tallinna linn,Nõmme linnaosa,Kivimäe,59.3780192,24.6559073
5,Tallinna linn,Lasnamäe linnaosa,Kuristiku,59.4514922,24.8661852
6,Tallinna linn,Põhja-Tallinna linnaosa,Pelguranna,59.447834,24.692225
7,Tallinna linn,Nõmme linnaosa,Hiiu,59.3834527,24.671893
8,Tallinna linn,Põhja-Tallinna linnaosa,Merimetsa,59.4341832,24.6954577
9,Tallinna linn,Kesklinna linnaosa,Kompassi,59.4358096,24.7609196
10,Tallinna linn,Pirita linnaosa,Mähe,59.482542,24.852122
11,Tallinna linn,Kesklinna linnaosa,Luite,59.4134555,24.753408
12,Tallinna linn,Mustamäe linnaosa,Sääse,59.409706,24.695449
13,Tallinna linn,Lasnamäe linnaosa,Väo,59.435219,24.897147
14,Tallinna linn,Kesklinna linnaosa,Tõnismäe,59.429956,24.7405576
15,Tallinna linn,Haabersti linnaosa,Haabersti,59.427789,24.643465
16,Tallinna linn,Lasnamäe linnaosa,Uuslinn,59.437080,24.803290
17,Tallinna linn,Pirita linnaosa,Kloostrimetsa,59.4742718,24.864245
18,Tallinna linn,Nõmme linnaosa,Nõmme,59.379267,24.694357
19,Tallinna linn,Põhja-Tallinna linnaosa,Pelgulinn,59.4407343,24.7133205
20,Tallinna linn,Pirita linnaosa,Kose,59.4580164,24.8649879
21,Tallinna linn,Lasnamäe linnaosa,Mustakivi,59.4438214,24.8737626
22,Tallinna linn,Kesklinna linnaosa,Veerenni,59.424482,24.749281
23,Tallinna linn,Haabersti linnaosa,Vismeistri,59.4382154,24.5934393
24,Tallinna linn,Põhja-Tallinna linnaosa,Sitsi,59.4508592,24.7011463
25,Tallinna linn,Lasnamäe linnaosa,Laagna,59.4393124,24.8380828
26,Tallinna linn,Lasnamäe linnaosa,Tondiraba,59.442126,24.859120
27,Tallinna linn,Pirita linnaosa,Maarjamäe,59.4561626,24.8293454
28,Tallinna linn,Pirita linnaosa,Lepiku,59.4796358,24.8863229
29,Tallinna linn,Kesklinna linnaosa,Keldrimäe,59.4298033,24.7678525
30,Tallinna linn,Haabersti linnaosa,Pikaliiva,59.429962,24.612633
31,Tallinna linn,Nõmme linnaosa,Laagri,59.355412,24.619176
32,Tallinna linn,Kesklinna linnaosa,Sibulaküla,59.4306131,24.7546434
33,Tallinna linn,Kesklinna linnaosa,Südalinn,59.4344382,24.753443
34,Tallinna linn,Lasnamäe linnaosa,Pae,59.435165,24.822060
35,Tallinna linn,Kesklinna linnaosa,Tatari,59.4301297,24.7480418
36,Tallinna linn,Kesklinna linnaosa,Torupilli,59.4314594,24.776553
37,Tallinna linn,Haabersti linnaosa,Õismäe,59.4380189,24.619423
38,Tallinna linn,Pirita linnaosa,Pirita,59.468293,24.834434
39,Tallinna linn,Lasnamäe linnaosa,Priisle,59.4511717,24.881277
40,Tallinna linn,Haabersti linnaosa,Rocca al Mare,59.4320011,24.650077
41,Tallinna linn,Lasnamäe linnaosa,Loopealse,59.4482853,24.8387963
42,Tallinna linn,Lasnamäe linnaosa,Paevälja,59.4495094,24.8246424
43,Tallinna linn,Kesklinna linnaosa,Maakri,59.432275,24.7588744
44,Tallinna linn,Mustamäe linnaosa,Siili,59.406715,24.706119
45,Tallinna linn,Põhja-Tallinna linnaosa,Karjamaa,59.4519745,24.7093063
46,Tallinna linn,Lasnamäe linnaosa,Katleri,59.450228,24.8499381
47,Tallinna linn,Nõmme linnaosa,Raudalu,59.3659378,24.7573859
48,Tallinna linn,Lasnamäe linnaosa,Ülemiste,59.4218734,24.8096136
49,Tallinna linn,Kesklinna linnaosa,Aegna,59.5813192,24.7575308109699
50,Tallinna linn,Lasnamäe linnaosa,Kurepõllu,59.4411191,24.8164685
51,Tallinna linn,Kesklinna linnaosa,Kassisaba,59.4320332,24.7297002
52,Tallinna linn,Nõmme linnaosa,Vana-Mustamäe,59.390358,24.645816
53,Tallinna linn,Kesklinna linnaosa,Ülemistejärve,59.4128315,24.7645366
54,Tallinna linn,Haabersti linnaosa,Veskimetsa,59.420996,24.660690
55,Tallinna linn,Mustamäe linnaosa,Mustamäe,59.405193,24.6721077
56,Tallinna linn,Kesklinna linnaosa,Kitseküla,59.414870,24.739392
57,Tallinna linn,Kristiine linnaosa,Lilleküla,59.419546,24.712606
58,Tallinna linn,Mustamäe linnaosa,Kadaka,59.4127966,24.6774298
59,Tallinna linn,Nõmme linnaosa,Männiku,59.3747375,24.7168837
60,Tallinna linn,Kesklinna linnaosa,Mõigu,59.4065266,24.8107843
61,Tallinna linn,Kesklinna linnaosa,Juhkentali,59.425090,24.769411
62,Tallinna linn,Nõmme linnaosa,Rahumäe,59.3890403,24.7081606
63,Tallinna linn,Haabersti linnaosa,Mäeküla,59.3969278,24.6125002
64,Tallinna linn,Kesklinna linnaosa,Sadama,59.4439563,24.7556195
65,Tallinna linn,Kesklinna linnaosa,Kadriorg,59.4384656,24.7910252363851
66,Tallinna linn,Kristiine linnaosa,Järve,59.4015884,24.7264417
67,Tallinna linn,Kristiine linnaosa,Tondi,59.408026,24.724908
68,Tallinna linn,Haabersti linnaosa,Mustjõe,59.428602,24.680109
69,Tallinna linn,Haabersti linnaosa,Astangu,59.402235,24.627247
70,Tallinna linn,Nõmme linnaosa,Pääsküla,59.3677228,24.640765
71,Tallinna linn,Haabersti linnaosa,Kakumäe,59.4533711,24.5816986
72,Tallinna linn,Lasnamäe linnaosa,Sikupilli,59.4275586,24.7933117
73,Tallinna linn,Põhja-Tallinna linnaosa,Kelmiküla,59.4363077,24.7301702
74,Tallinna linn,Nõmme linnaosa,Liiva,59.382957,24.731037
75,Tallinna linn,Haabersti linnaosa,Tiskre,59.4391588,24.5701015
76,Tallinna linn,Haabersti linnaosa,Väike-Õismäe,59.4153634,24.6466996
77,Tallinna linn,Põhja-Tallinna linnaosa,Paljassaare,59.4618029,24.7009466
78,Tallinna linn,Põhja-Tallinna linnaosa,Kopli,59.459025,24.673429
79,Tallinna linn,Kesklinna linnaosa,Uus Maailm,59.4256471,24.7337856
80,Tallinna linn,Kesklinna linnaosa,Vanalinn,59.4373438,24.7452048
81,Tallinna linn,Pirita linnaosa,Merivälja,59.4937945,24.8364241
82,Tallinna linn,Pirita linnaosa,Laiaküla,59.4701536,24.9022826
83,Tallinna linn,Põhja-Tallinna linnaosa,Kalamaja,59.4455201,24.734592
